"komuna";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2012 (31 dhjetor 2012)";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2013 (31 dhjetor 2013)";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2014 (31 dhjetor 2014)";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2015 (31 dhjetor 2015)";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2016 (31 dhjetor 2016)";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2017 (31 dhjetor 2017)";"Gjithsej popullsia e Kosovës e vlerësuar për vitin 2018 (31 dhjetor 2018)"
"Deçan";40614;40549;40847;41173;41480;41808;42070
"Gjakovë";96071;96162;95576;94543;95215;95340;94840
"Gllogoc";59752;59990;60111;60175;60558;61133;60970
"Gjilan";91413;91489;87385;80525;79834;80162;78633
"Dragash";34410;34364;34241;34041;34237;34316;34245
"Istog";40150;40126;39963;39604;39917;40380;40728
"Kaçanik";33893;33875;33784;33623;33888;34206;34396
"Klinë";39467;39555;39527;39208;39616;40122;40254
"Fushë Kosovë";36897;37843;37735;37048;37859;38607;38944
"Kamenicë";35711;35261;33599;31285;30891;30750;29454
"Mitrovicë";73160;73362;71636;68400;68474;69346;69248
"Mitrovica e V.";12303;12139;12173;12223;12250;12211;12153
"Leposaviq";13682;13485;13515;13561;13576;13587;13469
"Lipjan";58909;59196;58373;56643;57096;57733;57707
"Novobërdë";6891;6923;6953;6963;7063;7160;7172
"Obiliq";22011;22105;21056;19165;18994;19144;18660
"Rahovec";57451;57645;58214;58908;59381;59102;58023
"Pejë";98237;97706;97776;97890;98793;99568;99115
"Podujevë";89185;89051;86836;83425;83242;83445;82793
"Prishtinë";205133;207477;207062;204721;207708;211755;214688
"Prizren";181756;182449;184586;186986;189058;191565;192712
"Skenderaj";51491;51361;51553;51746;52053;52343;52475
"Shtime";27940;28096;27818;27238;27488;27654;27425
"Shtërpcë";6966;6873;6906;6889;6840;6773;6763
"Suharekë";61190;61352;60869;59681;60196;60247;59058
"Ferizaj";111141;111842;107985;101174;101107;103003;104312
"Viti";47636;47775;47434;46742;47202;47615;47681
"Vushtrri";71042;71212;68793;64578;64915;64468;63548
"Zubin Potok";6592;6508;6537;6554;6584;6616;6642
"Zveçan";7421;7319;7341;7358;7360;7376;7394
"Malishevë";56189;56482;56889;57301;58120;58269;57470
"Junik";6212;6226;6319;6382;6437;6370;6370
"Mamushë";5695;5688;5791;5839;5895;5950;5906
"Hani i Elezit";9567;9613;9759;9830;9922;9998;9985
"Graçanicë";11197;11359;11720;11900;11997;12091;12124
"Ranillug";3842;3791;3835;3839;3831;3810;3809
"Partesh";1766;1731;1738;1724;1716;1730;1739
"Kllokot";2623;2651;2709;2719;2738;2753;2691
"Kosova";1815606;1820631;1804944;1771604;1783531;1798506;1795666
