"","id","komuna"
"1",0,"Deçan"
"2",1,"Gjakovë"
"3",2,"Gjilan"
"4",3,"Drenas"
"5",4,"Istog"
"6",5,"Dragash"
"7",6,"Klinë"
"8",7,"Kaçanik"
"9",8,"Enclave-Kamenicë"
"10",9,"Kamenicë"
"11",10,"Fushë Kosovë"
"12",11,"Leposaviq"
"13",12,"Mitrovicë"
"14",13,"Obiliq"
"15",14,"Novobërdë"
"16",15,"Lipjan"
"17",16,"Pejë"
"18",17,"Rahovec"
"19",18,"Prizren"
"20",19,"Enclave-Prishtine"
"21",20,"Prishtinë"
"22",21,"Podujevë"
"23",22,"Shtërpcë"
"24",23,"Shtime"
"25",24,"Skënderaj"
"26",25,"Viti"
"27",26,"Ferizaj"
"28",27,"Suharekë"
"29",28,"Zveçan"
"30",29,"Zubin Potok"
"31",30,"Vushtrri"
"32",31,"Mamushë"
"33",32,"Junik"
"34",33,"Malishevë"
"35",34,"Ranillug"
"36",35,"Graçanicë"
"37",36,"Hani i Elezit"
"38",37,"Kllokot"
"39",38,"Partesh"
"40",39,"Mitrovicë e Veriut"
